iter	Logloss
0	0.6869836404
1	0.6814758193
2	0.6759804332
3	0.6707813694
4	0.6663759865
5	0.6611520854
6	0.6553933228
7	0.6529236135
8	0.6484429895
9	0.6458365995
10	0.6427586926
11	0.640685224
12	0.6377014421
13	0.6361915553
14	0.6335543971
15	0.6312841773
16	0.629361142
17	0.627960133
18	0.6257336364
19	0.624077303
20	0.6225751515
21	0.6211974995
22	0.6200989934
23	0.6186835992
24	0.6169820243
25	0.6150790189
26	0.6141052549
27	0.612724854
28	0.6115294325
29	0.6104672141
30	0.609772302
31	0.6086006897
32	0.6077667585
33	0.6069304824
34	0.6061811934
35	0.6054947308
36	0.6047334622
37	0.6040020839
38	0.6031264676
39	0.602057277
40	0.6013325489
41	0.6002925832
42	0.5992310059
43	0.5988530226
44	0.5982084051
45	0.597778622
46	0.597107294
47	0.5965663539
48	0.595657659
49	0.5952252304
50	0.5946249228
51	0.5942101338
52	0.5935552067
53	0.5931768944
54	0.5925141616
55	0.5916988513
56	0.5910284978
57	0.590821815
58	0.5903112085
59	0.5897810908
60	0.5893708484
61	0.5889389197
62	0.5885222393
63	0.5881271003
64	0.5875212451
65	0.5874345413
66	0.5870736779
67	0.5867481392
68	0.5859231856
69	0.5854035952
70	0.5846271529
71	0.5839217856
72	0.5831013082
73	0.582573695
74	0.5822780614
75	0.5819349266
76	0.5816508386
77	0.5813485235
78	0.5811776626
79	0.580738345
80	0.5803959467
81	0.5801333732
82	0.5797594787
83	0.5793131217
84	0.5790724601
85	0.5788369911
86	0.5785002448
87	0.5782050619
88	0.5777559787
89	0.5768938245
90	0.5765278404
91	0.5762141427
92	0.5759050688
93	0.5756416005
94	0.5752880625
95	0.5748262352
96	0.5742725224
97	0.5738546279
98	0.5734980347
99	0.5732315921
100	0.5728558864
101	0.5721148108
102	0.5713816068
103	0.5711283715
104	0.5709478788
105	0.5703228567
106	0.5699700792
107	0.5698846418
108	0.5695965694
109	0.569202376
110	0.5687965499
111	0.5684460275
112	0.5682391195
113	0.5681055496
114	0.5678272025
115	0.5668927552
116	0.5665365521
117	0.5662020225
118	0.5659192811
119	0.5654772087
120	0.565193825
121	0.5649436474
122	0.5647960226
123	0.5646185302
124	0.5641180887
125	0.5638996577
126	0.5635794177
